id,lesson_title,content_title,skill_name,level,categoryId,category_name,subCatName,coverImageId,previewVideoId,createdAt,updatedAt,deletedAt,status,short_description,description,university,link
01KAWP740FJJC32W55EVYJ94VW,Data Science: Inference and Modeling,"['Introduction to Data Science', 'Data Collection and Cleaning', 'Exploratory Data Analysis', 'Model Building', 'Advanced Data Science Techniques']",Data Science Skills,Beginner,cat_data_science,Data Science,Data Analysis,01KAWP740FJJC32W55EVYJ94VX,01KAWP740FJJC32W55EVYJ94VY,15/7/2025 12:01,6/11/2025 12:01,,active,"Learn inference and modeling, two of the most widely used statistical tools in data analysis.","Statistical inference and modeling are indispensable for analyzing data affected by chance, and thus essential for data scientists. In this course, you will learn these key concepts through a motivating case study on election forecasting. This course will show you how inference and modeling can be applied to develop the statistical approaches that make polls an effective tool and we'll show you how to do this using R. You will learn concepts necessary to define estimates and margins of errors and learn how you can use these to make predictions relatively well and also provide an estimate of the precision of your forecast. Once you learn this you will be able to understand two concepts that are ubiquitous in data science: confidence intervals, and p-values. Then, to understand statements about the probability of a candidate winning, you will learn about Bayesian modeling. Finally, at the end of the course, we will put it all together to recreate a simplified version of an election forecast model and apply it to the 2016 election. Data Analysis & Statistics",Harvard University,https://www.edx.org/course/data-science-inference-and-modeling
01KAWP740GSMXXTGD4WJ3Q811F,Buddhism Through Its Scriptures,"['Introduction to Its Scriptures', 'Historical Context', 'Key Concepts', 'Cultural Impact', 'Modern Its Scriptures']",Humanities Skills,Beginner,cat_humanities,Humanities,Art History,01KAWP740GSMXXTGD4WJ3Q811G,01KAWP740GSMXXTGD4WJ3Q811H,19/5/2025 12:01,28/10/2025 12:01,,active,"Learn about the rich and diverse beliefs and practices of Buddhists across time and place. Experience Buddhism through its scriptures, both relationally as well as academically.","Whether you are new to the study of Buddhism or have been studying it or practicing it for years, this course will provide you with the opportunity to become acquainted with a variety of Buddhist teachings while guiding you to think about them, and yourself, in new ways.Through a combination of carefully selected readings, both scriptural and informational, as well as exposure to various forms of Buddhist practice such as art, devotional acts, and literary works, you will learn how to interpret, reflect upon, and apply the teachings of the Buddha to your own life and deepen your understanding of Buddhism. Humanities",Harvard University,https://www.edx.org/course/buddhism-through-its-scriptures
01KAWP740GSMXXTGD4WJ3Q811Y,Computing in Python I: Fundamentals and Procedural Programming,"['Introduction to Python I', 'Variables and Data Types', 'Control Structures', 'Functions and Methods', 'Advanced Python I']",Computer Science Skills,Beginner,cat_computer_science,Computer Science,Computer Architecture,01KAWP740GSMXXTGD4WJ3Q811Z,01KAWP740GSMXXTGD4WJ3Q8120,18/8/2025 12:01,13/11/2025 12:01,,active,"Learn the fundamentals of computing in Python, including variables, operators, and writing and debugging your own programs.","This course starts from the beginning, covering the basics of how a computer interprets lines of code; how to write programs, evaluate their output, and revise the code itself; how to work with variables and their changing values; and how to use mathematical, boolean, and relational operators. By the end of this course, you'll be able to write small programs in Python that use variables, mathematical operators, and logical operators. For example, you could write programs that carry out complex mathematical operations, like calculating the interest rate necessary to reach a savings goal, recommending apparel options based on weather patterns, or calculating a grade based on multiple percentages. Structurally, the course is comprised of several parts. Instruction is delivered via a series of short (2-3 minute) videos. In between those videos, you'll complete both multiple choice questions and coding problems to demonstrate your knowledge of the material that was just covered. Computer Science",The Georgia Institute of Technology,https://www.edx.org/course/computing-in-python-i-fundamentals-and-procedural
01KAWP740JJT1RT3BVPCR2YVS4,Data Science: Linear Regression,"['Introduction to Data Science', 'Data Collection and Cleaning', 'Exploratory Data Analysis', 'Model Building', 'Advanced Data Science Techniques']",Data Science Skills,Beginner,cat_data_science,Data Science,Data Analysis,01KAWP740JJT1RT3BVPCR2YVS5,01KAWP740JJT1RT3BVPCR2YVS6,26/10/2025 12:01,13/11/2025 12:01,,active,"Learn how to use R to implement linear regression, one of the most common statistical modeling approaches in data science.","Linear regression is commonly used to quantify the relationship between two or more variables. It is also used to adjust for confounding. This course, part ofourProfessional Certificate Program in Data Science, covers how to implement linear regression and adjust for confounding in practice using R. In data science applications, it is very common to be interested in the relationship between two or more variables. The motivating case study we examine in this course relates to the data-driven approach used to construct baseball teams described in Moneyball. We will try to determine which measured outcomes best predict baseball runs by using linear regression. We will also examine confounding, where extraneous variables affect the relationship between two or more other variables, leading to spurious associations. Linear regression is a powerful technique for removing confounders, but it is not a magical process. It is essential to understand when it is appropriate to use, and this course will teach you when to apply this technique. Data Analysis & Statistics",Harvard University,https://www.edx.org/course/data-science-linear-regression
01KAWP740JJT1RT3BVPCR2YVSS,AI for Everyone: Master the Basics,"['Introduction to for Everyone', 'Variables and Data Types', 'Control Structures', 'Functions and Methods', 'Advanced for Everyone']",Computer Science Skills,Beginner,cat_computer_science,Computer Science,Programming Languages,01KAWP740JJT1RT3BVPCR2YVST,01KAWP740JJT1RT3BVPCR2YVSV,13/12/2024 12:01,24/11/2025 12:01,,active,"Learn what Artificial Intelligence (AI) is by understanding its applications and key concepts including machine learning, deep learning and neural networks.","In this course, you will learn what AI is and understand its applications and use cases and how it is transforming our lives. You will explore basic AI concepts including machine learning, deep learning, and neural networks as well as use cases and applications of AI. You will be exposed to concerns surrounding AI, including ethics, bias, jobs and the impacts on society.You will take a glimpse of the future with AI, get advice for starting an AI related career, and wrap up the course by demonstrating AI in action with a mini project.This AI for Everyone course does not require any programming or computer science expertise and is designed to introduce the basics of AI to anyone whether you have a technical background or not. Computer Science",IBM,https://www.edx.org/course/artificial-intelligence-for-everyone
01KAWP740KPNVBP0BZ7HJ1VTF4,Analyzing and Visualizing Data with Power BI,"['Introduction to Power BI', 'Data Collection and Cleaning', 'Exploratory Data Analysis', 'Model Building', 'Advanced Power BI Techniques']",Data Science Skills,Beginner,cat_data_science,Data Science,Data Analysis,01KAWP740KPNVBP0BZ7HJ1VTF5,01KAWP740KPNVBP0BZ7HJ1VTF6,21/7/2025 12:01,18/11/2025 12:01,,active,Step up your analytics game and learn one of the most in-demand job skills in the United States.,"Power BI is a robust business analytics and visualization tool from Microsoft that helps data professionals bring their data to life and tell more meaningful stores.This four-week course is a beginner's guide to working with data in Power BI and is perfect for professionals. You'll become confident in working with data, creating data visualizations, and preparing reports and dashboards.Take this course if you are a:Image Attribution: ""Data visualization & Infographic/UNICEF reports Vol. 1"" by Shangning Wang, Olga Oleszczuk is licensed under  CC BY-NC-ND 4.0  Data Analysis & Statistics",Davidson College,https://www.edx.org/course/data-analysis-in-power-bi
01KAWP740NT8VYXSA6D39G58SV,Introduction to Linear Models and Matrix Algebra,"['Introduction to Linear Models and Matrix Algebra', 'Variables and Data Types', 'Control Structures', 'Functions and Methods', 'Advanced Linear Models and Matrix Algebra']",Computer Science Skills,Intermediate,cat_computer_science,Computer Science,Programming Languages,01KAWP740NT8VYXSA6D39G58SW,01KAWP740NT8VYXSA6D39G58SX,26/3/2025 12:01,14/11/2025 12:01,,active,Learn to use R programming to apply linear models to analyze data in life sciences.,"Matrix Algebra underlies many of the current tools for experimental design and the analysis of high-dimensional data. In this Beginner online course in data analysis, we will use matrix algebra to represent the linear models that commonly used to model differences between experimental units. We perform statistical inference on these differences. Throughout the course we will use the R programming language to perform matrix operations.Given the diversity in educational background of our students we have divided the series into seven parts. You can take the entire series or individual courses that interest you. If you are a statistician you should consider skipping the first two or three courses, similarly, if you are biologists you should consider skipping some of the Beginner biology lectures. Note that the statistics and programming aspects of the class ramp up in difficulty relatively quickly across the first three courses. You will need to know some basic stats for this course. By the third course will be teaching advanced statistical concepts such as hierarchical models and by the fourth advanced software engineering skills, such as parallel computing and reproducible research concepts.These courses make up two Professional Certificates and are self-paced:Data Analysis for Life Sciences:Genomics Data Analysis:This class was supported in part by NIH grant R25GM114818. Math",Harvard University,https://www.edx.org/course/introduction-to-linear-models-and-matrix-algebra
01KAWP740P6W5ECCTGXRV03DP2,SQL for Data Science,"['Introduction to Data Science', 'Variables and Data Types', 'Control Structures', 'Functions and Methods', 'Advanced Data Science']",Computer Science Skills,Beginner,cat_computer_science,Computer Science,Programming Languages,01KAWP740P6W5ECCTGXRV03DP3,01KAWP740P6W5ECCTGXRV03DP4,23/2/2025 12:01,19/11/2025 12:01,,active,Learn how to use and apply the powerful language of SQL to better communicate and extract data from databases - a must for anyone working in the data science field.,"Much of the world's data lives in databases. SQL (or Structured Query Language) is a powerful programming language that is used for communicating with and extracting various data types from databases. A working knowledge of databases and SQL is necessary to advance as a data scientist or a machine learning specialist. The purpose of this course is to introduce relational database concepts and help you learn and apply foundational knowledge of the SQL language. It is also intended to get you started with performing SQL access in a data science environment.The emphasis in this course is on hands-on, practical learning. As such, you will work with real databases, real data science tools, and real-world datasets. You will create a database instance in the cloud. Through a series of hands-on labs, you will practice building and running SQL queries. You will also learn how to access databases from Jupyter notebooks using SQL and Python.No prior knowledge of databases, SQL, Python, or programming is required. Data Analysis & Statistics",IBM,https://www.edx.org/course/sql-for-data-science
01KAWP740Q1R5EASTCH3SX17AJ,Databases: Relational Databases and SQL,"['Introduction to Databases', 'Variables and Data Types', 'Control Structures', 'Functions and Methods', 'Advanced Databases']",Computer Science Skills,Beginner,cat_computer_science,Computer Science,Programming Languages,01KAWP740Q1R5EASTCH3SX17AK,01KAWP740Q1R5EASTCH3SX17AM,20/10/2025 12:01,17/11/2025 12:01,,active,"This course is one of five self-paced courses on the topic of Databases, originating as one of Stanford's three inaugural massive open online courses released in the fall of 2011. The original ""Databases"" courses are now all available on edx.org.","About the Database Series of Courses""Databases"" was one of Stanford's three inaugural massive open online courses in the fall of 2011. It has been offered in synchronous and then in self-paced versions on a variety of platforms continuously since 2011. The material is now being offered as a set of five self-paced courses, which can be taken in a variety of ways to learn about different aspects of databases. Relational Databases and SQL is the most popular course in the Databases series. It is applicable to learners seeking to gain a strong understanding of relational databases, and to master SQL, the long-accepted standard query language for relational database systems. Additional courses focus on advanced concepts in relational databases and SQL, formal foundations and database design methodologies, and semistructured data.All of the courses are based around video lectures and demos. Many of them include quizzes between video segments to check understanding, in-depth standalone quizzes, and/or a variety of automatically-checked interactive exercises. Each course also includes an unmoderated discussion forum and pointers to readings and resources. The courses are described briefly below. Taught by Professor Jennifer Widom, the overall curriculum draws from Stanford's popular longstanding Databases course.",Stanford University,https://www.edx.org/course/databases-5-sql
01KAWP740Q1R5EASTCH3SX17AN,C Programming: Getting Started,"['Introduction to C Programming', 'Variables and Data Types', 'Control Structures', 'Functions and Methods', 'Advanced C Programming']",Computer Science Skills,Beginner,cat_computer_science,Computer Science,Programming Languages,01KAWP740Q1R5EASTCH3SX17AP,01KAWP740Q1R5EASTCH3SX17AQ,6/1/2025 12:01,19/11/2025 12:01,,active,Start learning one of the most powerful and widely used programming languages: C.,"In this course, you will learn the principles of C programming and start coding hands-on in a browser tool that will provide instant feedback on your code. The C programming language is one of the most stable and popular programming languages in the world. It helps to power your smartphone, your car's navigation system, robots, drones, trains, and almost all electronic devices. C is used in any circumstances where speed and flexibility are important, such as in embedded systems or high-performance computing. In this course, you will get started with C and learn how to write your first programs, how to make simple computations and print the results to the screen, how to store values in variables and how to repeat instructions using loops. Beginners, even those without any programming experience, will be able to immediately start coding in C with the help of powerful yet simple coding tools right within the web browser. No need to install anything! We are excited to introduce you to the world of coding and launch you along your path to becoming a skilled C programmer! This is the first course in the C Programming with Linux Professional Certificate program. This series of seven short courses will establish your programming skills and unlock doors to careers in computer engineering. This course has received financial support from the Patrick & Lina Drahi Foundation. Computer Science",Dartmouth_IMTx-Dartmouth College-IMT,https://www.edx.org/course/c-programming-getting-started
01KAWP740Q1R5EASTCH3SX17AV,Programming for the Web with JavaScript,"['Introduction to with JavaScript', 'Variables and Data Types', 'Control Structures', 'Functions and Methods', 'Advanced with JavaScript']",Computer Science Skills,Intermediate,cat_computer_science,Computer Science,Software Development,01KAWP740Q1R5EASTCH3SX17AW,01KAWP740Q1R5EASTCH3SX17AX,21/6/2025 12:01,5/11/2025 12:01,,active,"Learn how to develop dynamic, interactive, and data-driven web apps using JavaScript.","JavaScript is the programming language of the World Wide Web.As a professional web software developer, you will not only need to know how to program in this simple yet powerful language, but you will need to understand the fundamentals of how data is exchanged on the World Wide Web (WWW) and what tools and frameworks are available to you for creating robust, interactive web applications.This course, part of the CS Essentials for Software Development Professional Certificate program, provides an introduction to modern web development using JavaScript. In addition to exploring the basics of web page creation using HTML and CSS, you will learn advanced web page layout and responsive design tools such as Bootstrap. You will also learn how browsers represent a web page data using the Document Object Model (DOM) and how to develop dynamic, interactive web pages using JavaScript in the browser. Beyond fundamental JavaScript syntax and advanced language features such as callbacks, events, and asynchronous programming, you will work with jQuery, which provides functionality for simplified DOM manipulation and event handling.This course will also introduce you to modern web frameworks and component-based libraries such as React.js for efficiently developing modular web page components, and D3.js for creating data-driven documents. We will also teach you how to represent and exchange data using JavaScript Object Notation (JSON), and how to access RESTful APIs on the web.",University of Pennsylvania,https://www.edx.org/course/programming-for-the-web-with-javascript
01KAWP740RYAFJ7DGTJ3P865A4,Mandarin Chinese Level 1,"Introduction to Mandarin Chinese,Pinyin and Characters,Grammar and Sentence Structure,Reading and Writing,Listening and Speaking",Humanities Skills,Beginner,cat_humanities,Humanities,Art History,01KAWP740RYAFJ7DGTJ3P865A5,01KAWP740RYAFJ7DGTJ3P865A6,5/2/2025 12:01,23/11/2025 12:01,,active,"Mandarin Chinese is rapidly becoming one of the top languages to learn, especially for business. Learnbasic language skills for business scenarios in Mandarin-speaking countries.","Chinese is, without a doubt, the most spoken language on the planet. Learning Chinese will help your company or organization break into the biggest market on the planet. Being able to properly and correctly introduce yourself in Chinese will help you open the door to a whole new world. Mandarin Chinese Level 1will introduce you to the basic language skills you will need to eat, live, and get around in Mandarin speaking countries, building your confidence to communicate effectively with colleagues, clients and friends in Chinese. If you enroll in the verified track, you will be able to participate in the Webinar lectured by Dr. Estella Y. Chen, who will lead the discussion with a wide variety of popular topics to accompany you to the world of chinese business culture and trend. What's more, in the verified track, we'll give you three pronunciation lessons that will help you communicate more smoothly and effectively in a business environment. Since this is a language course, we recommend taking this course with a friend or group of friends. Practicing with others by speaking the language will help you learn it more effectively. Additionally, Mandarin is a tonal language, which means that in order to truly master it, you will need to say the words out loud! Join the community of over 900 million native Mandarin speakers and start learning today! Language",MandarinX,https://www.edx.org/course/mandarin-chinese-level-1
01KAWP740X8DS70J2V4P6XAV5N,Introduction to Cybersecurity,"['Introduction to Cybersecurity', 'Variables and Data Types', 'Control Structures', 'Functions and Methods', 'Advanced Cybersecurity']",Computer Science Skills,Beginner,cat_computer_science,Computer Science,Data Structures,01KAWP740X8DS70J2V4P6XAV5P,01KAWP740X8DS70J2V4P6XAV5Q,11/3/2025 12:01,18/11/2025 12:01,,active,"An introduction to cybersecurity, ideal for learners who are curious about the world of Internet security and who want to be literate in the field.","This course serves as an introduction to the exciting field of cybersecurity.As our daily lives become more and more dependent on Internet-based tools and services, and as those platforms accumulate more of our most sensitive data, the demand grows for experts in the field of cybersecurity.In this course, you will gain an overview of the cybersecurity landscape as well as national (USA) and international perspectives on the field. We will cover the legal environment that impacts cybersecurity as well as predominant threat actors.By the end of this course, you will be able to Computer Science",University of Washington,https://www.edx.org/course/introduction-to-cybersecurity
01KAWP740ZJKC72Y9AEARBQ9SR,Python Data Structures,"['Introduction to Data Structures', 'Variables and Data Types', 'Control Structures', 'Functions and Methods', 'Advanced Data Structures']",Computer Science Skills,Beginner,cat_computer_science,Computer Science,Data Structures,01KAWP740ZJKC72Y9AEARBQ9SS,01KAWP740ZJKC72Y9AEARBQ9ST,20/3/2025 12:01,31/10/2025 12:01,,active,"The second course in Python for Everybody explores variables that contain collections of data like string, lists, dictionaries, and tuples. Learning how to store and represent and manipulate data collections while a program is running is an important part of learning how to program.","This course will introduce the core data structures of the Python programming language. We will move past the basics of procedural programming and explore how we can use the Python built-in data structures such as lists, dictionaries, and tuples to perform increasingly complex data analysis. This course will cover Chapters 6-10 of the textbook ""Python for Everybody"". This course covers Python 3. Computer Science",The University of Michigan,https://www.edx.org/course/python-data-structures
01KAWP7411BZR2XZCEJ7M0HEF6,Introduction to Networking,"['Introduction to Networking', 'Variables and Data Types', 'Control Structures', 'Functions and Methods', 'Advanced Networking']",Computer Science Skills,Beginner,cat_computer_science,Computer Science,Computer Architecture,01KAWP7411BZR2XZCEJ7M0HEF7,01KAWP7411BZR2XZCEJ7M0HEF8,21/8/2025 12:01,29/10/2025 12:01,,active,This is a self-paced course from NYU that provides an Introduction to Networking,This is a self-paced course that provides an Introduction to NetworkingCourse topics include:By the end of this course students should be able to:  Computer Science,New York University,https://www.edx.org/course/introduction-to-networking
